_RAJ2000	_DEJ2000	UCAC4	RAJ2000	DEJ2000	ePos	f.mag	of	db	pmRA	pmDE	Jmag	Kmag	Bmag	Vmag	rmag	imag	H	A	b	h	Z	B	L	N	S
341.914165900	+44.443024500	673-118394	341.9141659	+44.4430245	211	15.365	5	34			13.494	12.827	16.207	15.283	14.934	14.673	0	0	0	0	0	0	0	0	0
341.918644500	+44.402404200	673-118395	341.9186445	+44.4024042	25	13.857	0	0	8.3	-11.0	12.506	12.075	14.525	13.851	13.610	13.392	0	0	0	0	1	0	0	1	0
341.925932400	+44.410008100	673-118400	341.9259324	+44.4100081	66	15.547	0	0	0.6	-11.4	13.866	13.281	17.130	15.823	15.423	15.184	0	0	0	0	0	0	0	1	0
341.931150600	+44.480817300	673-118405	341.9311506	+44.4808173	23	13.678	0	0	1.0	-1.1	12.131	11.686	14.685	13.788	13.523	13.227	0	0	0	0	1	0	0	1	0
341.935141200	+44.426962800	673-118407	341.9351412	+44.4269628	25	13.774	0	0	8.7	0.0	12.290	11.768	14.857	13.867	13.580	13.304	0	0	0	0	1	0	0	1	0
341.954913300	+44.431994200	673-118412	341.9549133	+44.4319942	27	14.275	0	0	-1.2	4.4	12.965	12.604	14.945	14.266	14.124	13.934	0	0	0	0	1	0	0	1	0
341.965374800	+44.409013100	673-118417	341.9653748	+44.4090131	22	11.059	0	0	-5.2	-7.3	8.969	8.213	12.760	11.380	10.934	10.459	3	1	0	1	1	0	0	1	0
341.993943600	+44.434635600	673-118426	341.9939436	+44.4346356	123	15.815	0	0	-6.6	-4.0	14.354	13.910	16.928	15.913	15.576	15.537	0	0	0	0	0	0	0	1	0
342.001466800	+44.440453100	673-118428	342.0014668	+44.4404531	45	14.595	0	0	-7.1	8.3	13.182	12.825	15.437	14.696	14.383	14.149	0	0	0	0	1	0	0	1	0
342.026100000	+44.408659500	673-118452	342.0261000	+44.4086595	22	13.632	0	0	-1.1	-0.5	12.173	11.808	14.374	13.604	13.406	13.144	0	0	0	0	1	0	0	1	0
